days_since_last_offense,speed_recorded,zone_type,weather_conditions,cumulative_active_demerit_points,past_fine_payment_delays_days,reoffended_within_180_days
32,24.97,urban,clear,29,4.01,1
283,50.44,urban,clear,8,3.48,0
239,41.79,urban,clear,22,2.39,1
160,33.0,urban,rain,3,4.56,0
158,54.09,urban,clear,30,1.39,0
314,104.5,highway,rain,6,1.26,0
31,77.11,highway,fog,12,3.77,1
255,103.81,residential,clear,24,3.45,1
73,86.22,school_zone,rain,6,3.51,0
34,93.65,highway,clear,17,2.88,0
192,59.98,urban,fog,24,5.29,1
357,88.48,highway,night,0,4.15,0
269,92.57,urban,clear,0,0.86,0
278,66.47,urban,rain,24,2.76,1
262,89.19,urban,clear,8,12.03,1
287,89.32,urban,clear,28,1.99,0
187,67.01,urban,rain,28,6.48,1
46,55.54,highway,clear,27,3.12,1
307,54.32,school_zone,rain,30,7.19,1
164,79.73,school_zone,clear,25,0.94,0
183,84.54,highway,clear,11,2.58,0
135,62.15,highway,fog,30,5.61,0
66,78.53,urban,clear,10,5.32,1
339,89.41,school_zone,rain,18,7.9,1
286,90.36,highway,clear,0,6.77,0
235,109.04,urban,fog,29,2.53,1
147,103.54,urban,rain,18,8.12,1
301,57.97,residential,clear,29,8.93,1
199,111.67,highway,clear,10,1.95,1
162,67.38,highway,clear,9,2.27,0
164,98.9,highway,night,16,17.95,0
83,79.36,urban,clear,26,2.91,1
33,69.76,highway,clear,17,7.07,0
202,41.85,urban,rain,24,3.09,0
324,74.57,urban,clear,6,1.95,0
23,46.81,highway,clear,24,5.05,0
314,97.35,urban,clear,22,2.95,1
302,108.34,school_zone,clear,27,7.74,0
101,62.06,urban,rain,1,4.53,1
231,84.04,highway,fog,11,13.56,0
60,63.49,highway,night,2,1.42,0
277,65.43,highway,fog,12,10.43,0
256,93.49,highway,clear,23,4.63,1
129,77.23,residential,clear,19,4.78,0
24,112.79,highway,rain,23,1.58,0
355,68.36,school_zone,night,22,3.64,0
163,97.99,school_zone,rain,30,6.02,1
326,79.95,urban,clear,27,6.87,0
248,93.92,urban,rain,18,0.95,1
284,69.06,urban,fog,27,3.29,0
278,77.01,urban,night,1,16.43,0
71,75.69,urban,fog,22,2.17,1
133,61.28,urban,clear,16,9.19,0
170,91.24,highway,clear,29,3.75,0
182,91.0,urban,clear,15,5.0,0
16,89.87,school_zone,clear,5,1.1,0
200,108.74,urban,night,22,4.06,1
56,106.99,school_zone,clear,29,5.97,1
272,70.5,urban,clear,0,4.83,0
249,85.46,highway,clear,1,4.27,0
337,65.53,urban,rain,20,7.54,0
272,78.47,highway,clear,17,1.42,0
134,66.01,urban,clear,17,6.18,0
354,110.4,residential,fog,2,0.45,0
150,85.27,urban,clear,17,11.03,1
119,73.64,highway,clear,17,4.39,1
331,101.87,urban,clear,26,8.76,0
135,34.59,highway,rain,12,0.11,1
27,37.72,highway,rain,10,7.89,1
171,93.92,urban,fog,2,2.54,1
291,79.21,urban,clear,17,5.03,1
69,83.01,urban,night,20,7.98,0
169,51.47,urban,rain,8,4.67,1
47,77.54,residential,clear,22,7.31,1
251,118.07,urban,clear,29,3.8,0
174,94.48,urban,clear,5,11.64,1
120,81.39,residential,fog,17,4.38,1
83,69.22,urban,clear,21,4.45,1
206,70.11,urban,clear,0,4.51,1
245,35.42,school_zone,rain,5,4.92,0
344,83.15,residential,fog,12,1.5,1
159,94.91,school_zone,rain,4,2.11,0
58,46.49,highway,fog,11,9.68,0
304,64.77,residential,clear,4,8.75,0
230,54.85,urban,fog,27,8.36,0
256,58.69,residential,clear,18,6.83,0
35,79.07,school_zone,clear,10,3.22,1
114,36.31,residential,night,24,2.94,1
281,90.29,urban,clear,0,4.76,0
304,93.08,urban,clear,18,10.74,0
159,72.98,highway,rain,21,5.71,1
294,28.39,highway,clear,25,2.01,1
308,58.07,highway,clear,6,1.19,0
141,102.66,residential,rain,18,8.95,1
328,22.44,highway,fog,23,13.11,1
105,71.05,urban,fog,24,0.9,1
87,54.4,urban,clear,5,9.16,0
249,94.09,urban,rain,30,6.72,0
233,64.5,urban,fog,8,2.46,0
51,86.08,urban,clear,12,5.77,0
304,89.31,school_zone,clear,5,1.71,0
73,114.72,school_zone,clear,4,4.11,0
294,73.94,highway,clear,7,4.97,0
2,85.52,urban,clear,4,11.56,1
291,48.3,highway,rain,22,3.95,0
288,101.81,school_zone,night,18,2.71,1
